1: 378
2: 622
3: 0
4:
       49.882300%       |       49.882300%

       95.246100%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       95.246100%

       57.743100%       |       57.743100%

       99.607500%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       95.246100%       |       49.882300%

       57.743100%       |       97.887200%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       95.246100%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       57.743100%       |       95.246100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       95.246100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       97.887200%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       95.246100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       97.887200%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       95.246100%       |       49.882300%

       57.743100%       |       95.246100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       99.803500%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       95.246100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       57.743100%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       97.887200%

       57.743100%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       95.246100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       95.246100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       97.887200%

       49.882300%       |       49.882300%

       49.882300%       |       95.246100%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       95.246100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       97.887200%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       95.246100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       95.246100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       95.246100%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       95.246100%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       97.887200%

       49.882300%       |       95.246100%

       49.882300%       |       57.743100%

       49.882300%       |       97.887200%

       57.743100%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       57.743100%       |       57.743100%

       95.246100%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       57.743100%       |       49.882300%

       97.887200%       |       49.882300%

       95.246100%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       49.882300%

       49.882300%       |       95.246100%

       49.882300%       |       49.882300%

       97.887200%       |       49.882300%

       57.743100%       |       49.882300%

       57.743100%       |       97.887200%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       95.246100%       |       57.743100%

       49.882300%       |       95.246100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       95.246100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       49.882300%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       95.246100%       |       57.743100%

       49.882300%       |       57.743100%

       57.743100%       |       57.743100%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       49.882300%       |       49.882300%

       57.743100%       |       57.743100%

